,precision,recall,f1-score,support
0,1.0,0.4,0.5714285714285715,5.0
2,0.75,0.75,0.75,8.0
3,0.6328502415458938,0.8675496688741722,0.7318435754189946,151.0
4,0.0,0.0,0.0,1.0
5,0.0,0.0,0.0,2.0
6,0.7272727272727273,0.5333333333333333,0.6153846153846153,30.0
7,0.65,0.52,0.5777777777777778,25.0
8,0.7297297297297297,0.6,0.6585365853658536,45.0
10,0.6666666666666666,0.7142857142857143,0.689655172413793,14.0
11,0.8571428571428571,0.8,0.8275862068965518,15.0
12,0.7692307692307693,0.625,0.6896551724137931,16.0
13,0.7,0.4666666666666667,0.56,30.0
14,0.6666666666666666,0.7777777777777778,0.717948717948718,18.0
15,0.8260869565217391,0.76,0.7916666666666667,25.0
16,1.0,0.3888888888888889,0.56,18.0
17,0.875,0.6363636363636364,0.7368421052631579,11.0
18,0.7692307692307693,0.625,0.6896551724137931,16.0
accuracy,0.6930232558139535,0.6930232558139535,0.6930232558139535,0.6930232558139535
macro avg,0.6835221990592836,0.5567568050700112,0.5981164905524875,430.0
weighted avg,0.7105800949961719,0.6930232558139535,0.6831246273836707,430.0
