,precision,recall,f1-score,support
0,0.6,0.375,0.4615384615384615,8.0
1,0.0,0.0,0.0,1.0
2,0.6,0.3,0.4,10.0
3,0.5508771929824562,0.9401197604790419,0.6946902654867256,167.0
4,1.0,0.25,0.4,4.0
5,0.5,0.25,0.3333333333333333,4.0
6,0.25,0.047619047619047616,0.08,21.0
7,0.375,0.13636363636363635,0.19999999999999998,22.0
8,0.5789473684210527,0.275,0.37288135593220345,40.0
10,0.8,0.8,0.8000000000000002,20.0
11,0.7,0.7777777777777778,0.7368421052631577,9.0
12,0.5,0.35714285714285715,0.41666666666666663,14.0
13,0.5882352941176471,0.43478260869565216,0.5,23.0
14,0.6129032258064516,0.7037037037037037,0.6551724137931035,27.0
15,1.0,0.08333333333333333,0.15384615384615385,12.0
16,0.5,0.14285714285714285,0.22222222222222224,21.0
17,0.0,0.0,0.0,11.0
18,0.5,0.1875,0.2727272727272727,16.0
accuracy,0.5674418604651162,0.5674418604651162,0.5674418604651162,0.5674418604651162
macro avg,0.5364423934070893,0.3367333259984552,0.3722177917116279,430.0
weighted avg,0.5472841507590519,0.5674418604651162,0.5027097533227554,430.0
