,precision,recall,f1-score,support
0,0.0,0.0,0.0,6.0
1,0.0,0.0,0.0,1.0
2,0.0,0.0,0.0,6.0
3,0.35170603674540685,0.9178082191780822,0.50853889943074,146.0
4,0.0,0.0,0.0,2.0
5,0.0,0.0,0.0,6.0
6,0.0,0.0,0.0,25.0
7,0.0,0.0,0.0,21.0
8,0.0,0.0,0.0,44.0
9,0.0,0.0,0.0,1.0
10,0.0,0.0,0.0,14.0
11,0.0,0.0,0.0,11.0
12,0.0,0.0,0.0,19.0
13,0.0,0.0,0.0,34.0
14,0.4444444444444444,0.7142857142857143,0.5479452054794521,28.0
15,0.0,0.0,0.0,22.0
16,0.0,0.0,0.0,18.0
17,0.0,0.0,0.0,6.0
18,0.0,0.0,0.0,20.0
accuracy,0.3581395348837209,0.3581395348837209,0.3581395348837209,0.3581395348837209
macro avg,0.04190265690472901,0.08589968070862086,0.05560442657422065,430.0
weighted avg,0.14835703676575313,0.3581395348837209,0.20834684900072722,430.0
