,precision,recall,f1-score,support
0,0.0,0.0,0.0,5.0
2,0.0,0.0,0.0,10.0
3,0.3855721393034826,0.96875,0.5516014234875446,160.0
4,0.0,0.0,0.0,3.0
5,0.0,0.0,0.0,1.0
6,0.0,0.0,0.0,37.0
7,0.0,0.0,0.0,23.0
8,0.0,0.0,0.0,42.0
10,0.0,0.0,0.0,17.0
11,0.0,0.0,0.0,20.0
12,0.0,0.0,0.0,10.0
13,0.0,0.0,0.0,29.0
14,0.35714285714285715,0.625,0.45454545454545453,16.0
15,0.0,0.0,0.0,21.0
16,0.0,0.0,0.0,16.0
17,0.0,0.0,0.0,7.0
18,0.0,0.0,0.0,13.0
accuracy,0.38372093023255816,0.38372093023255816,0.38372093023255816,0.38372093023255816
macro avg,0.04368911743801999,0.09375,0.05918511047252936,430.0
weighted avg,0.15675773954149516,0.38372093023255816,0.2221603605365916,430.0
