,precision,recall,f1-score,support
0,0.5,0.16666666666666666,0.25,6.0
2,0.6666666666666666,0.2222222222222222,0.3333333333333333,9.0
3,0.5448275862068965,0.9294117647058824,0.6869565217391305,170.0
4,0.0,0.0,0.0,1.0
5,1.0,0.4,0.5714285714285715,5.0
6,0.6111111111111112,0.34375,0.44000000000000006,32.0
7,0.7272727272727273,0.42105263157894735,0.5333333333333333,19.0
8,0.6086956521739131,0.3111111111111111,0.411764705882353,45.0
10,0.6818181818181818,0.75,0.7142857142857143,20.0
11,0.5714285714285714,0.4,0.47058823529411764,10.0
12,0.75,0.21428571428571427,0.3333333333333333,14.0
13,0.6666666666666666,0.34782608695652173,0.4571428571428571,23.0
14,0.55,0.55,0.55,20.0
15,0.6666666666666666,0.4444444444444444,0.5333333333333333,18.0
16,1.0,0.05,0.09523809523809523,20.0
17,1.0,0.2,0.33333333333333337,5.0
18,0.5,0.07692307692307693,0.13333333333333336,13.0
accuracy,0.5767441860465117,0.5767441860465117,0.5767441860465117,0.5767441860465117
macro avg,0.6497149311771412,0.34280551287615213,0.402788511824167,430.0
weighted avg,0.6210923582807409,0.5767441860465117,0.5278135059888465,430.0
