,precision,recall,f1-score,support
0,0.0,0.0,0.0,12.0
2,0.0,0.0,0.0,10.0
3,0.41114058355437666,0.9226190476190477,0.5688073394495413,168.0
4,0.0,0.0,0.0,3.0
5,0.0,0.0,0.0,2.0
6,0.0,0.0,0.0,28.0
7,0.0,0.0,0.0,22.0
8,0.0,0.0,0.0,42.0
10,0.5,0.375,0.42857142857142855,16.0
11,0.0,0.0,0.0,9.0
12,0.0,0.0,0.0,13.0
13,0.5,0.16666666666666666,0.25,18.0
14,0.4857142857142857,0.68,0.5666666666666667,25.0
15,0.0,0.0,0.0,14.0
16,0.0,0.0,0.0,23.0
17,0.0,0.0,0.0,11.0
18,0.0,0.0,0.0,14.0
accuracy,0.42093023255813955,0.42093023255813955,0.42093023255813955,0.42093023255813955
macro avg,0.11157969819227426,0.1261344537815126,0.10670855498162568,430.0
weighted avg,0.2284057562325405,0.42093023255813955,0.2815894012821685,430.0
