,precision,recall,f1-score,support
0,0.75,0.3333333333333333,0.46153846153846156,9.0
2,0.75,0.3,0.4285714285714285,10.0
3,0.5405405405405406,0.9271523178807947,0.6829268292682926,151.0
4,0.3333333333333333,0.3333333333333333,0.3333333333333333,3.0
5,0.0,0.0,0.0,2.0
6,0.6086956521739131,0.4,0.48275862068965525,35.0
7,0.6190476190476191,0.5652173913043478,0.5909090909090909,23.0
8,0.7894736842105263,0.40540540540540543,0.5357142857142857,37.0
9,1.0,1.0,1.0,1.0
10,0.9166666666666666,0.7857142857142857,0.8461538461538461,14.0
11,0.75,0.7058823529411765,0.7272727272727272,17.0
12,0.8333333333333334,0.4166666666666667,0.5555555555555556,12.0
13,0.8181818181818182,0.3333333333333333,0.4736842105263157,27.0
14,0.7083333333333334,0.68,0.6938775510204083,25.0
15,0.5333333333333333,0.4444444444444444,0.4848484848484848,18.0
16,0.5,0.19047619047619047,0.27586206896551724,21.0
17,0.0,0.0,0.0,7.0
18,0.5,0.1111111111111111,0.1818181818181818,18.0
accuracy,0.6,0.6,0.6,0.6
macro avg,0.6083855174530233,0.44067056477469013,0.48637914867697685,430.0
weighted avg,0.6211794575794629,0.6,0.5643636600697715,430.0
