,precision,recall,f1-score,support
0,0.75,0.3333333333333333,0.46153846153846156,9.0
2,0.75,0.42857142857142855,0.5454545454545454,7.0
3,0.550561797752809,0.91875,0.6885245901639344,160.0
4,0.0,0.0,0.0,4.0
5,0.0,0.0,0.0,3.0
6,0.6842105263157895,0.34210526315789475,0.45614035087719296,38.0
7,0.9,0.4090909090909091,0.5625000000000001,22.0
8,0.6470588235294118,0.43137254901960786,0.5176470588235293,51.0
10,0.7692307692307693,0.8695652173913043,0.8163265306122449,23.0
11,0.75,0.75,0.75,8.0
12,0.0,0.0,0.0,8.0
13,0.625,0.4166666666666667,0.5,24.0
14,0.6785714285714286,0.8260869565217391,0.7450980392156864,23.0
15,0.0,0.0,0.0,14.0
16,1.0,0.23076923076923078,0.375,13.0
17,0.8,0.4,0.5333333333333333,10.0
18,0.6666666666666666,0.3076923076923077,0.42105263157894735,13.0
accuracy,0.6116279069767442,0.6116279069767442,0.6116279069767442,0.6116279069767442
macro avg,0.5630176477686397,0.39200022718908367,0.4336832671528162,430.0
weighted avg,0.6112930345501549,0.6116279069767442,0.5670676241430067,430.0
