,precision,recall,f1-score,support
0,0.0,0.0,0.0,5.0
2,1.0,0.3,0.4615384615384615,10.0
3,0.5502008032128514,0.9072847682119205,0.6849999999999999,151.0
4,0.0,0.0,0.0,2.0
5,1.0,0.2,0.33333333333333337,5.0
6,0.6666666666666666,0.6896551724137931,0.6779661016949153,29.0
7,0.75,0.375,0.5,24.0
8,0.6829268292682927,0.6086956521739131,0.6436781609195402,46.0
10,0.9166666666666666,0.7857142857142857,0.8461538461538461,14.0
11,0.6666666666666666,0.4,0.5,10.0
12,0.8333333333333334,0.3333333333333333,0.47619047619047616,15.0
13,0.8125,0.52,0.6341463414634146,25.0
14,0.68,0.68,0.68,25.0
15,0.7142857142857143,0.2,0.3125,25.0
16,0.8333333333333334,0.35714285714285715,0.5,14.0
17,0.75,0.6,0.6666666666666665,5.0
18,0.8333333333333334,0.4,0.5405405405405406,25.0
accuracy,0.6302325581395349,0.6302325581395349,0.6302325581395349,0.6302325581395349
macro avg,0.6876419615745212,0.4327544746464767,0.497512584029482,430.0
weighted avg,0.6749951898185074,0.6302325581395349,0.6034634418742926,430.0
