,precision,recall,f1-score,support
0,1.0,0.2222222222222222,0.3636363636363636,9.0
2,1.0,0.09090909090909091,0.16666666666666669,11.0
3,0.5407407407407407,0.9299363057324841,0.68384074941452,157.0
4,0.5,0.3333333333333333,0.4,3.0
5,1.0,0.2,0.33333333333333337,5.0
6,0.6818181818181818,0.4411764705882353,0.5357142857142857,34.0
7,0.7142857142857143,0.5,0.588235294117647,20.0
8,0.7142857142857143,0.38461538461538464,0.5,39.0
10,0.8666666666666667,0.9285714285714286,0.896551724137931,14.0
11,0.5454545454545454,0.631578947368421,0.5853658536585366,19.0
12,0.5714285714285714,0.3333333333333333,0.4210526315789474,12.0
13,0.6666666666666666,0.2857142857142857,0.4,21.0
14,0.7586206896551724,0.7333333333333333,0.7457627118644068,30.0
15,0.6666666666666666,0.09090909090909091,0.16,22.0
16,0.8,0.25,0.38095238095238093,16.0
17,1.0,0.3333333333333333,0.5,3.0
18,0.6666666666666666,0.26666666666666666,0.3809523809523809,15.0
accuracy,0.6023255813953489,0.6023255813953489,0.6023255813953489,0.6023255813953489
macro avg,0.7466647543726651,0.4091548956841555,0.4730626103545529,430.0
weighted avg,0.6588380733288512,0.6023255813953489,0.5607986712309121,430.0
