,precision,recall,f1-score,support
0,0.3333333333333333,0.375,0.35294117647058826,8.0
1,0.0,0.0,0.0,1.0
2,0.0,0.0,0.0,10.0
3,0.49830508474576274,0.91875,0.6461538461538461,160.0
4,0.0,0.0,0.0,2.0
5,0.0,0.0,0.0,4.0
6,1.0,0.07142857142857142,0.13333333333333333,28.0
7,0.5,0.25,0.3333333333333333,20.0
8,0.5294117647058824,0.4090909090909091,0.46153846153846156,44.0
10,0.5294117647058824,0.5625,0.5454545454545455,16.0
11,0.3333333333333333,0.2857142857142857,0.30769230769230765,14.0
12,0.0,0.0,0.0,13.0
13,0.5294117647058824,0.28125,0.3673469387755102,32.0
14,0.6086956521739131,0.6086956521739131,0.6086956521739131,23.0
15,0.6666666666666666,0.11764705882352941,0.2,17.0
16,1.0,0.06666666666666667,0.125,15.0
17,0.0,0.0,0.0,7.0
18,0.42857142857142855,0.1875,0.26086956521739124,16.0
accuracy,0.5046511627906977,0.5046511627906977,0.5046511627906977,0.5046511627906977
macro avg,0.38650782183011584,0.22968017466099308,0.24124217556351285,430.0
weighted avg,0.5138569893862156,0.5046511627906977,0.4305925981937953,430.0
