,precision,recall,f1-score,support
0,1.0,0.25,0.4,8.0
1,0.0,0.0,0.0,1.0
2,1.0,0.4444444444444444,0.6153846153846153,9.0
3,0.5620689655172414,0.9760479041916168,0.7133479212253829,167.0
4,1.0,1.0,1.0,1.0
5,1.0,0.25,0.4,4.0
6,0.8571428571428571,0.3870967741935484,0.5333333333333333,31.0
7,0.9090909090909091,0.47619047619047616,0.6249999999999999,21.0
8,0.625,0.45454545454545453,0.5263157894736842,44.0
10,0.7692307692307693,0.6666666666666666,0.7142857142857142,15.0
11,0.6153846153846154,0.6153846153846154,0.6153846153846154,13.0
12,1.0,0.18181818181818182,0.3076923076923077,11.0
13,0.8181818181818182,0.3333333333333333,0.4736842105263157,27.0
14,1.0,0.5,0.6666666666666666,16.0
15,0.5,0.07142857142857142,0.125,14.0
16,0.875,0.3181818181818182,0.4666666666666667,22.0
17,0.3333333333333333,0.1111111111111111,0.16666666666666666,9.0
18,0.6,0.5294117647058824,0.5625,17.0
accuracy,0.6232558139534884,0.6232558139534884,0.6232558139534884,0.6232558139534884
macro avg,0.7480240704378636,0.42031450645531776,0.49510713929477596,430.0
weighted avg,0.6909470361234595,0.6232558139534884,0.5858558152784207,430.0
