,precision,recall,f1-score,support
0,0.0,0.0,0.0,7.0
2,0.0,0.0,0.0,6.0
3,0.4594594594594595,0.8553459119496856,0.5978021978021979,159.0
4,0.0,0.0,0.0,3.0
5,0.0,0.0,0.0,2.0
6,0.3333333333333333,0.06451612903225806,0.1081081081081081,31.0
7,0.4,0.08695652173913043,0.14285714285714285,23.0
8,0.43243243243243246,0.37209302325581395,0.4,43.0
10,0.6,0.6,0.6,15.0
11,0.5384615384615384,0.5833333333333334,0.5599999999999999,12.0
12,0.6666666666666666,0.18181818181818182,0.28571428571428575,11.0
13,0.5,0.40625,0.4482758620689655,32.0
14,0.5925925925925926,0.8421052631578947,0.6956521739130435,19.0
15,0.0,0.0,0.0,21.0
16,0.0,0.0,0.0,20.0
17,0.5,0.09090909090909091,0.15384615384615385,11.0
18,0.0,0.0,0.0,15.0
accuracy,0.4744186046511628,0.4744186046511628,0.4744186046511628,0.4744186046511628
macro avg,0.29546741311447194,0.24019573265855226,0.23483858378293515,430.0
weighted avg,0.3877584024095653,0.4744186046511628,0.3883837181705458,430.0
