,precision,recall,f1-score,support
0,0.0,0.0,0.0,7.0
2,0.4,0.18181818181818182,0.25000000000000006,11.0
3,0.5034246575342466,0.901840490797546,0.6461538461538462,163.0
4,0.0,0.0,0.0,4.0
5,0.0,0.0,0.0,3.0
6,0.375,0.11538461538461539,0.1764705882352941,26.0
7,0.4,0.18181818181818182,0.25000000000000006,22.0
8,0.5714285714285714,0.43243243243243246,0.49230769230769234,37.0
10,0.5882352941176471,0.5882352941176471,0.5882352941176471,17.0
11,0.45454545454545453,0.5263157894736842,0.4878048780487805,19.0
12,0.5,0.0625,0.1111111111111111,16.0
13,0.4,0.07692307692307693,0.12903225806451613,26.0
14,0.5714285714285714,0.6666666666666666,0.6153846153846153,18.0
15,0.0,0.0,0.0,16.0
16,0.3333333333333333,0.09523809523809523,0.14814814814814814,21.0
17,0.0,0.0,0.0,5.0
18,0.5,0.3157894736842105,0.3870967741935484,19.0
accuracy,0.5,0.5,0.5,0.5
macro avg,0.3292585813169308,0.2438213116679022,0.25186736504501167,430.0
weighted avg,0.44179803312329596,0.5,0.4240011137224949,430.0
