,precision,recall,f1-score,support
0,0.0,0.0,0.0,7.0
2,0.0,0.0,0.0,6.0
3,0.4808362369337979,0.8571428571428571,0.6160714285714286,161.0
4,0.0,0.0,0.0,3.0
5,0.0,0.0,0.0,5.0
6,0.0,0.0,0.0,32.0
7,0.4,0.07407407407407407,0.125,27.0
8,0.38461538461538464,0.1388888888888889,0.20408163265306123,36.0
9,0.0,0.0,0.0,1.0
10,0.4,0.7,0.509090909090909,20.0
11,0.4444444444444444,0.5714285714285714,0.5,14.0
12,0.0,0.0,0.0,13.0
13,0.26666666666666666,0.18181818181818182,0.21621621621621623,22.0
14,0.5172413793103449,0.7142857142857143,0.6000000000000001,21.0
15,0.5,0.043478260869565216,0.08,23.0
16,0.2727272727272727,0.2,0.23076923076923075,15.0
17,0.0,0.0,0.0,10.0
18,0.26666666666666666,0.2857142857142857,0.2758620689655172,14.0
accuracy,0.4511627906976744,0.4511627906976744,0.4511627906976744,0.4511627906976744
macro avg,0.21851100285358765,0.2092683796790077,0.1865050825703535,430.0
weighted avg,0.3542697401654508,0.4511627906976744,0.3572363282352113,430.0
