,precision,recall,f1-score,support
0,1.0,0.2857142857142857,0.4444444444444445,7.0
2,1.0,0.25,0.4,4.0
3,0.528169014084507,0.9375,0.6756756756756757,160.0
4,1.0,0.3333333333333333,0.5,3.0
5,1.0,0.3333333333333333,0.5,3.0
6,0.7142857142857143,0.38461538461538464,0.5,26.0
7,0.7272727272727273,0.34782608695652173,0.4705882352941176,23.0
8,0.7037037037037037,0.4418604651162791,0.5428571428571429,43.0
9,1.0,1.0,1.0,1.0
10,0.7692307692307693,0.7142857142857143,0.7407407407407408,14.0
11,0.8,0.5714285714285714,0.6666666666666666,14.0
12,0.7142857142857143,0.2631578947368421,0.3846153846153846,19.0
13,0.6666666666666666,0.38461538461538464,0.4878048780487804,26.0
14,0.9411764705882353,0.7272727272727273,0.8205128205128205,22.0
15,0.8571428571428571,0.4,0.5454545454545455,15.0
16,0.6,0.2857142857142857,0.3870967741935483,21.0
17,1.0,0.125,0.2222222222222222,8.0
18,0.75,0.2857142857142857,0.4137931034482759,21.0
accuracy,0.6069767441860465,0.6069767441860465,0.6069767441860465,0.6069767441860465
macro avg,0.8206629798478274,0.44840954182427495,0.5390262574541314,430.0
weighted avg,0.6764000481292056,0.6069767441860465,0.5779290559438645,430.0
