,precision,recall,f1-score,support
0,0.5,0.14285714285714285,0.22222222222222224,7.0
2,1.0,0.16666666666666666,0.2857142857142857,6.0
3,0.5614754098360656,0.8954248366013072,0.6901763224181361,153.0
4,0.0,0.0,0.0,4.0
5,0.0,0.0,0.0,3.0
6,0.5789473684210527,0.3793103448275862,0.45833333333333337,29.0
7,0.5263157894736842,0.38461538461538464,0.4444444444444444,26.0
8,0.7619047619047619,0.41025641025641024,0.5333333333333333,39.0
9,0.0,0.0,0.0,1.0
10,0.5789473684210527,0.7857142857142857,0.6666666666666667,14.0
11,0.7857142857142857,0.5789473684210527,0.6666666666666667,19.0
12,0.42857142857142855,0.2727272727272727,0.33333333333333326,11.0
13,0.4117647058823529,0.3181818181818182,0.358974358974359,22.0
14,0.6060606060606061,0.7407407407407407,0.6666666666666666,27.0
15,0.46153846153846156,0.2857142857142857,0.35294117647058826,21.0
16,0.5384615384615384,0.28,0.3684210526315789,25.0
17,0.5,0.1,0.16666666666666669,10.0
18,0.5,0.23076923076923078,0.3157894736842105,13.0
accuracy,0.5697674418604651,0.5697674418604651,0.5697674418604651,0.5697674418604651
macro avg,0.4855389846825161,0.33177365489406574,0.3627972224014718,430.0
weighted avg,0.5660886836683169,0.5697674418604651,0.5313310796101723,430.0
