,precision,recall,f1-score,support
0,1.0,0.2857142857142857,0.4444444444444445,7.0
2,1.0,0.1,0.18181818181818182,10.0
3,0.5615942028985508,0.9567901234567902,0.7077625570776256,162.0
4,0.0,0.0,0.0,2.0
5,1.0,0.3333333333333333,0.5,3.0
6,0.6,0.32142857142857145,0.41860465116279066,28.0
7,0.5,0.16666666666666666,0.25,18.0
8,0.5925925925925926,0.4,0.4776119402985075,40.0
9,0.0,0.0,0.0,1.0
10,0.7272727272727273,0.8,0.761904761904762,10.0
11,0.7272727272727273,0.5333333333333333,0.6153846153846153,15.0
12,0.5,0.3076923076923077,0.380952380952381,13.0
13,0.6842105263157895,0.3939393939393939,0.5,33.0
14,0.68,0.7083333333333334,0.6938775510204083,24.0
15,0.5,0.15,0.23076923076923075,20.0
16,0.6666666666666666,0.2857142857142857,0.4,21.0
17,0.5,0.14285714285714285,0.22222222222222224,7.0
18,0.7272727272727273,0.5,0.5925925925925926,16.0
accuracy,0.5930232558139535,0.5930232558139535,0.5930232558139535,0.5930232558139535
macro avg,0.6092712316828767,0.3547668209705247,0.4098858405359868,430.0
weighted avg,0.6120909157206321,0.5930232558139535,0.5474881760452929,430.0
